house_code,city_id,house_condition_name,beadroom_num,rent_price,name,longitude,latitude,frame_hall_num,subway
BJ2422383044553359360,110000,管庄,2,3900,管庄西里,"116.594761,",39.921447,1,"[{""distance"":1177,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u53cc\u6865"",""point_lat"":39.915845,""point_lng"":116.583031},{""distance"":1184,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u7ba1\u5e84"",""point_lat"":39.915288,""point_lng"":116.605018}];"
BJ2475201218142806016,110000,梨园,2,4800,时尚街区东区,"116.674125,",39.888623,1,"[{""distance"":64,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u68a8\u56ed"",""point_lat"":39.889683,""point_lng"":116.675128}];"
BJ2668649570120515584,110000,万达,2,3900,旅游新村,"116.648606,",39.90866,1,"[{""distance"":599,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.91033,""point_lng"":116.643362}];"
BJ2656459683564355584,110000,红庙,2,6200,慈云寺,"116.490126,",39.920449,2,"[{""distance"":859,""lines"":[""14\u53f7\u7ebf\u4e1c\u6bb5"",""1\u53f7\u7ebf""],""name"":""\u5927\u671b\u8def"",""point_lat"":39.913279,""point_lng"":116.483225},{""distance"":963,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913735,""point_lng"":116.502239}];"
BJ2688568675476176896,110000,四惠,2,10000,金地名京,"116.503568,",39.916109,1,"[{""distance"":128,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913441,""point_lng"":116.5027}];"
BJ2597809401448366080,110000,四惠,2,11000,东恒时代二期,"116.505098,",39.918019,1,"[{""distance"":573,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913441,""point_lng"":116.5027}];"
BJ2711680413751058432,110000,万达,2,5800,怡佳家园,"116.650734,",39.914025,1,"[{""distance"":928,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.910123,""point_lng"":116.643491}];"
BJ2670394371089629184,110000,四惠,2,7000,壹线国际,"116.508281,",39.915816,1,"[{""distance"":462,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913735,""point_lng"":116.502239},{""distance"":1019,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.915068,""point_lng"":116.52184}];"
BJ2634836369570004992,110000,万达,2,5700,帅府园二期,"116.6526184082,",39.909675598145,1,"[{""distance"":987,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.91033,""point_lng"":116.643362}];"
BJ2615040217434308608,110000,万达,2,3100,后南仓,"116.659929,",39.908429,1,"[{""distance"":1066,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.910123,""point_lng"":116.643491}];"
BJ2660936951989288960,110000,四惠,2,10600,东恒时代二期,"116.505098,",39.918019,1,"[{""distance"":573,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913441,""point_lng"":116.5027}];"
BJ2704331836913623040,110000,万达,2,5300,怡佳家园,"116.650734,",39.914025,1,"[{""distance"":928,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.910123,""point_lng"":116.643491}];"
BJ2694708211143426048,110000,高碑店,2,6500,兴隆家园,"116.530553,",39.921425,1,"[{""distance"":887,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u9ad8\u7891\u5e97"",""point_lat"":39.916198,""point_lng"":116.537052},{""distance"":1039,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.914741,""point_lng"":116.52183},{""distance"":1103,""lines"":[""6\u53f7\u7ebf""],""name"":""\u9752\u5e74\u8def"",""point_lat"":39.929697,""point_lng"":116.525295}];"
BJ2692655898836877312,110000,万达,2,3200,中山大街108号院,"116.651186,",39.91154,1,"[{""distance"":826,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.910123,""point_lng"":116.643491}];"
BJ2402078902466904064,110000,梨园,2,4200,11站,"116.676119,",39.887571,1,"[{""distance"":202,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u68a8\u56ed"",""point_lat"":39.889947,""point_lng"":116.675652},{""distance"":1151,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u4e34\u6cb3\u91cc"",""point_lat"":39.881495,""point_lng"":116.685911}];"
BJ2707094762078879744,110000,甘露园,2,7000,甘露园南里,"116.522105,",39.922247,1,"[{""distance"":691,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.914741,""point_lng"":116.52183},{""distance"":824,""lines"":[""6\u53f7\u7ebf""],""name"":""\u9752\u5e74\u8def"",""point_lat"":39.929171,""point_lng"":116.524474}];"
BJ2607762707096535040,110000,万达,2,3000,通惠南路,"116.64999,",39.909642,1,"[{""distance"":802,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.91033,""point_lng"":116.643362}];"
BJ2669355784412348416,110000,甘露园,2,5200,康家园,"116.520858,",39.918846,1,"[{""distance"":388,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.914741,""point_lng"":116.52183},{""distance"":1121,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u9ad8\u7891\u5e97"",""point_lat"":39.916195,""point_lng"":116.537515}];"
BJ2638384077702701056,110000,万达,2,3300,玉带河西街,"116.658326,",39.907069,0,"[{""distance"":409,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.91033,""point_lng"":116.643362}];"
BJ2695421450759970816,110000,四惠,2,7800,通惠家园,"116.517937,",39.915593,1,"[{""distance"":404,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.915068,""point_lng"":116.52184},{""distance"":1025,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913441,""point_lng"":116.5027}];"
BJ2660685158550093824,110000,万达,2,4000,旅游新村,"116.648606,",39.90866,1,"[{""distance"":599,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.91033,""point_lng"":116.643362}];"
BJ2425844033697366016,110000,果园,2,2600,葛布店南里,"116.668441,",39.897465,1,"[{""distance"":490,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u4e5d\u68f5\u6811"",""point_lat"":39.896223,""point_lng"":116.663992},{""distance"":908,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u68a8\u56ed"",""point_lat"":39.889683,""point_lng"":116.675128}];"
BJ2677437628600819712,110000,万达,2,3300,北苑南路34号院,"116.648851,",39.905127,1,"[{""distance"":752,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u679c\u56ed"",""point_lat"":39.899604,""point_lng"":116.652976},{""distance"":780,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.91033,""point_lng"":116.643362}];"
BJ2705829024386785280,110000,万达,2,3500,通惠南路,"116.64999,",39.909642,1,"[{""distance"":802,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.91033,""point_lng"":116.643362}];"
BJ2699121444968996864,110000,四惠,2,13000,金地名京,"116.503568,",39.916109,2,"[{""distance"":128,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913441,""point_lng"":116.5027}];"
BJ2700126937128370176,110000,果园,2,3200,葛布店北里,"116.66424,",39.899598,1,"[{""distance"":589,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u4e5d\u68f5\u6811"",""point_lat"":39.896223,""point_lng"":116.663992},{""distance"":1063,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u679c\u56ed"",""point_lat"":39.899673,""point_lng"":116.652729}];"
BJ2650503651407708160,110000,万达,2,4000,玉带河西街,"116.658326,",39.907069,1,"[{""distance"":409,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.91033,""point_lng"":116.643362}];"
BJ2686784004258275328,110000,万达,2,6200,帅府园二期,"116.6526184082,",39.909675598145,1,"[{""distance"":987,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.91033,""point_lng"":116.643362}];"
BJ2534164057788268544,110000,甘露园,2,4600,甘露园南里,"116.522105,",39.922247,1,"[{""distance"":691,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.914741,""point_lng"":116.52183},{""distance"":824,""lines"":[""6\u53f7\u7ebf""],""name"":""\u9752\u5e74\u8def"",""point_lat"":39.929171,""point_lng"":116.524474}];"
BJ2621057587293978624,110000,甘露园,2,6200,甘露园南里,"116.522105,",39.922247,1,"[{""distance"":691,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.914741,""point_lng"":116.52183},{""distance"":824,""lines"":[""6\u53f7\u7ebf""],""name"":""\u9752\u5e74\u8def"",""point_lat"":39.929171,""point_lng"":116.524474}];"
BJ2504105795965698048,110000,四惠,2,9500,东恒时代二期,"116.505098,",39.918019,1,"[{""distance"":573,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913441,""point_lng"":116.5027}];"
BJ2473019285577146368,110000,通州北苑,2,6000,河和居,"116.642925,",39.914993,2,"[{""distance"":717,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.910123,""point_lng"":116.643491}];"
BJ2600714691576086528,110000,万达,2,4300,新华西街,"116.653441,",39.91278,2,"[{""distance"":602,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.910123,""point_lng"":116.643491}];"
BJ2613822323630800896,110000,高碑店,2,6000,金隅泰和园,"116.537987,",39.926203,1,[];
BJ2519582950262046720,110000,四惠,2,8500,东恒时代一期,"116.501162,",39.915382,2,"[{""distance"":100,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913735,""point_lng"":116.502239}];"
BJ2617237528540872704,110000,四惠,2,10500,金地名京,"116.503568,",39.916109,1,"[{""distance"":128,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913441,""point_lng"":116.5027}];"
BJ2712233603559342080,110000,四惠,2,9700,金地名京,"116.503568,",39.916109,1,"[{""distance"":128,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913441,""point_lng"":116.5027}];"
BJ2662992411633909760,110000,四惠,2,10700,金地名京,"116.503568,",39.916109,1,"[{""distance"":128,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913441,""point_lng"":116.5027}];"
BJ2594016039574708224,110000,万达,2,3700,复兴里小区,"116.652577,",39.905713,2,"[{""distance"":934,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.910576,""point_lng"":116.644006},{""distance"":1123,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u679c\u56ed"",""point_lat"":39.899604,""point_lng"":116.652976}];"
BJ2693324638783807488,110000,四惠,2,7500,壹线国际,"116.508281,",39.915816,1,"[{""distance"":462,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913735,""point_lng"":116.502239},{""distance"":1019,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.915068,""point_lng"":116.52184}];"
BJ2459997377772126208,110000,万达,2,3300,通惠南路,"116.64999,",39.909642,1,"[{""distance"":802,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.91033,""point_lng"":116.643362}];"
BJ2694223929413222400,110000,万达,2,5500,怡佳家园,"116.650734,",39.914025,2,"[{""distance"":928,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.910123,""point_lng"":116.643491}];"
BJ2702302271299133440,110000,四惠,2,12000,金地名京,"116.503568,",39.916109,1,"[{""distance"":128,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913441,""point_lng"":116.5027}];"
BJ2691270952700092416,110000,万达,2,3600,吉祥园,"116.672015,",39.917767,1,"[{""distance"":988,""lines"":[""6\u53f7\u7ebf""],""name"":""\u901a\u5dde\u5317\u5173"",""point_lat"":39.925198,""point_lng"":116.666839}];"
BJ2698542172839616512,110000,通州北苑,2,3600,科印小区,"116.64438,",39.905491,1,"[{""distance"":511,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.910123,""point_lng"":116.643491},{""distance"":1158,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u679c\u56ed"",""point_lat"":39.899604,""point_lng"":116.652976}];"
BJ2676123297430904832,110000,甘露园,2,7200,甘露园南里,"116.522105,",39.922247,1,"[{""distance"":691,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.914741,""point_lng"":116.52183},{""distance"":824,""lines"":[""6\u53f7\u7ebf""],""name"":""\u9752\u5e74\u8def"",""point_lat"":39.929171,""point_lng"":116.524474}];"
BJ2691876511346606080,110000,四惠,2,9700,壹线国际,"116.508281,",39.915816,1,"[{""distance"":462,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913735,""point_lng"":116.502239},{""distance"":1019,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.915068,""point_lng"":116.52184}];"
BJ2517306915743342592,110000,四惠,2,12800,住邦2000,"116.501182,",39.920571,1,"[{""distance"":991,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913735,""point_lng"":116.502239}];"
BJ2592764284862218240,110000,万达,2,4200,复兴里小区,"116.652577,",39.905713,1,"[{""distance"":934,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.910576,""point_lng"":116.644006},{""distance"":1123,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u679c\u56ed"",""point_lat"":39.899604,""point_lng"":116.652976}];"
BJ2700617326142685184,110000,万达,2,5000,逸秀名园,"116.650653,",39.914862,1,"[{""distance"":987,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.910123,""point_lng"":116.643491}];"
BJ2621096115139264512,110000,万达,2,4500,逸秀名园,"116.650653,",39.914862,1,"[{""distance"":987,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.910123,""point_lng"":116.643491}];"
BJ2520177926168133632,110000,果园,2,2700,运河西大街155号院,"116.67107,",39.898912,1,"[{""distance"":1059,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u4e5d\u68f5\u6811"",""point_lat"":39.896762,""point_lng"":116.664239}];"
BJ2657764284544851968,110000,四惠,2,11000,金地名京,"116.503568,",39.916109,1,"[{""distance"":128,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913441,""point_lng"":116.5027}];"
BJ2562934898373427200,110000,四惠,2,7200,壹线国际,"116.508281,",39.915816,1,"[{""distance"":462,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913735,""point_lng"":116.502239},{""distance"":1019,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.915068,""point_lng"":116.52184}];"
BJ2677651681105420288,110000,四惠,2,11000,金地名京,"116.503568,",39.916109,1,"[{""distance"":128,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913441,""point_lng"":116.5027}];"
BJ2525310010817789952,110000,甘露园,2,5500,甘露园南里,"116.522105,",39.922247,1,"[{""distance"":691,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.914741,""point_lng"":116.52183},{""distance"":824,""lines"":[""6\u53f7\u7ebf""],""name"":""\u9752\u5e74\u8def"",""point_lat"":39.929171,""point_lng"":116.524474}];"
BJ2452968183603675136,110000,万达,2,5000,旅游新村,"116.648606,",39.90866,2,"[{""distance"":599,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.91033,""point_lng"":116.643362}];"
BJ2603683178036609024,110000,高碑店,2,6600,兴隆家园,"116.530553,",39.921425,1,"[{""distance"":887,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u9ad8\u7891\u5e97"",""point_lat"":39.916198,""point_lng"":116.537052},{""distance"":1039,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.914741,""point_lng"":116.52183},{""distance"":1103,""lines"":[""6\u53f7\u7ebf""],""name"":""\u9752\u5e74\u8def"",""point_lat"":39.929697,""point_lng"":116.525295}];"
BJ2645547244988153856,110000,高碑店,2,4600,高碑店村5号院,"116.536789,",39.912463,1,"[{""distance"":439,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u9ad8\u7891\u5e97"",""point_lat"":39.916165,""point_lng"":116.538746}];"
BJ2701357155231211520,110000,万达,2,3500,帅府园,"116.652626,",39.909058,1,"[{""distance"":959,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.91033,""point_lng"":116.643362}];"
BJ2701344836342530048,110000,甘露园,2,5400,甘露园南里,"116.522105,",39.922247,1,"[{""distance"":691,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.914741,""point_lng"":116.52183},{""distance"":824,""lines"":[""6\u53f7\u7ebf""],""name"":""\u9752\u5e74\u8def"",""point_lat"":39.929171,""point_lng"":116.524474}];"
BJ2656540622365655040,110000,万达,2,6000,帅府园二期,"116.6526184082,",39.909675598145,1,"[{""distance"":987,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.91033,""point_lng"":116.643362}];"
BJ2706539548317859840,110000,高碑店,2,6000,兴隆家园,"116.530553,",39.921425,1,"[{""distance"":887,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u9ad8\u7891\u5e97"",""point_lat"":39.916198,""point_lng"":116.537052},{""distance"":1039,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.914741,""point_lng"":116.52183},{""distance"":1103,""lines"":[""6\u53f7\u7ebf""],""name"":""\u9752\u5e74\u8def"",""point_lat"":39.929697,""point_lng"":116.525295}];"
BJ2670783039079972864,110000,四惠,2,6300,壹线国际,"116.508281,",39.915816,1,"[{""distance"":462,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0"",""point_lat"":39.913735,""point_lng"":116.502239},{""distance"":1019,""lines"":[""1\u53f7\u7ebf"",""\u516b\u901a\u7ebf""],""name"":""\u56db\u60e0\u4e1c"",""point_lat"":39.915068,""point_lng"":116.52184}];"
BJ2705766033054515200,110000,万达,2,4800,旅游新村,"116.648606,",39.90866,1,"[{""distance"":599,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.91033,""point_lng"":116.643362}];"
BJ2632539665404018688,110000,红庙,2,9300,东区国际,"116.494382,",39.919565,1,[];
BJ2699091624901738496,110000,梨园,2,3400,九棵树50号院,"116.680068,",39.887143,1,"[{""distance"":452,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u68a8\u56ed"",""point_lat"":39.889683,""point_lng"":116.675128},{""distance"":913,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u4e34\u6cb3\u91cc"",""point_lat"":39.881311,""point_lng"":116.685204}];"
BJ2701357991617642496,110000,万达,2,3700,复兴里小区,"116.652577,",39.905713,1,"[{""distance"":934,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u901a\u5dde\u5317\u82d1"",""point_lat"":39.910576,""point_lng"":116.644006},{""distance"":1123,""lines"":[""\u516b\u901a\u7ebf""],""name"":""\u679c\u56ed"",""point_lat"":39.899604,""point_lng"":116.652976}];"
